department,job_role,total_headcount,leavers_count,retained_count,attrition_rate_pct,pct_of_total_company_leavers,avg_monthly_income,avg_tenure_years
Sales,Sales Representative,83,33,50,39.76,13.92,2626.0,2.92
Research & Development,Laboratory Technician,259,62,197,23.94,26.16,3237.17,5.02
Human Resources,Human Resources,52,12,40,23.08,5.06,4235.75,5.33
Sales,Sales Executive,326,57,269,17.48,24.05,6924.28,7.5
Research & Development,Research Scientist,292,47,245,16.1,19.83,3239.97,5.11
Research & Development,Manufacturing Director,145,10,135,6.9,4.22,7295.14,7.6
Research & Development,Healthcare Representative,131,9,122,6.87,3.8,7528.76,8.37
Research & Development,Manager,54,3,51,5.56,1.27,17130.33,13.52
Sales,Manager,37,2,35,5.41,0.84,16986.97,15.22
Research & Development,Research Director,80,2,78,2.5,0.84,16033.55,10.94
Human Resources,Manager,11,0,11,0.0,0.0,18088.64,16.27
