promotion_band,manager_tenure_band,total_employees,leavers,attrition_rate_pct
0. Promoted this year,0. < 1 Year,209,65,31.1
0. Promoted this year,1. 1-2 Years,143,22,15.38
0. Promoted this year,2. 3-5 Years,121,16,13.22
0. Promoted this year,3. 6+ Years,108,7,6.48
1. 1-2 Yrs Ago,0. < 1 Year,43,18,41.86
1. 1-2 Yrs Ago,1. 1-2 Years,253,38,15.02
1. 1-2 Yrs Ago,2. 3-5 Years,106,13,12.26
1. 1-2 Yrs Ago,3. 6+ Years,114,7,6.14
2. 3-5 Yrs Ago,0. < 1 Year,6,1,16.67
2. 3-5 Yrs Ago,1. 1-2 Years,12,1,8.33
2. 3-5 Yrs Ago,2. 3-5 Years,27,2,7.41
2. 3-5 Yrs Ago,3. 6+ Years,113,12,10.62
3. 6+ Yrs Ago (Stagnant),0. < 1 Year,5,1,20.0
3. 6+ Yrs Ago (Stagnant),1. 1-2 Years,12,0,0.0
3. 6+ Yrs Ago (Stagnant),2. 3-5 Years,17,3,17.65
3. 6+ Yrs Ago (Stagnant),3. 6+ Years,181,31,17.13
